iter	Passed	Remaining
0	0	910
1	1	836
2	2	819
3	3	796
4	3	791
5	4	775
6	5	767
7	6	766
8	6	770
9	7	768
10	8	769
11	9	765
12	10	759
13	10	758
14	11	768
15	12	774
16	13	773
17	14	768
18	14	767
19	15	770
20	16	766
21	17	760
22	17	755
23	18	754
24	19	752
25	20	750
26	20	748
27	21	745
28	22	743
29	22	742
30	23	740
31	24	740
32	25	739
33	25	737
34	26	736
35	27	735
36	28	734
37	28	732
38	29	730
39	30	729
40	31	730
41	31	728
42	32	729
43	33	726
44	34	725
45	34	723
46	35	724
47	36	724
48	37	725
49	38	725
50	39	726
51	39	724
52	40	723
53	41	723
54	42	724
55	42	723
56	43	726
57	44	726
58	45	727
59	46	724
60	46	723
61	47	723
62	48	723
63	49	722
64	50	721
65	50	719
66	51	718
67	52	716
68	53	715
69	53	714
70	54	714
71	55	713
72	56	712
73	56	710
74	57	711
75	58	710
76	59	708
77	59	706
78	60	705
79	61	704
80	61	702
81	62	701
82	63	696
83	63	695
84	64	695
85	65	694
86	66	696
87	67	696
88	68	697
89	68	696
90	69	695
91	70	695
92	71	695
93	72	695
94	72	694
95	73	695
96	74	695
97	75	693
98	76	692
99	76	691
100	77	689
101	78	688
102	78	687
103	79	687
104	81	698
105	82	698
106	83	698
107	84	697
108	85	697
109	86	697
110	86	696
111	87	697
112	89	698
113	90	699
114	90	699
115	91	699
116	92	697
117	93	697
118	94	697
119	95	697
120	96	698
121	96	696
122	97	696
123	98	697
124	99	698
125	100	699
126	101	699
127	102	698
128	103	699
129	104	699
130	105	699
131	106	698
132	106	697
133	107	696
134	108	695
135	109	693
136	109	692
137	110	691
138	111	690
139	112	689
140	112	687
141	113	684
142	114	683
143	114	682
144	115	681
145	116	680
146	117	679
147	117	678
148	118	677
149	119	676
150	120	676
151	120	674
152	121	672
153	122	671
154	122	669
155	123	667
156	124	666
157	124	664
158	125	662
159	125	660
160	126	657
161	126	656
162	127	654
163	128	653
164	128	651
165	129	649
166	129	647
167	130	646
168	131	645
169	132	645
170	132	644
171	133	642
172	134	641
173	134	640
174	135	638
175	136	637
176	136	635
177	137	634
178	137	632
179	138	630
180	139	629
181	139	628
182	140	626
183	140	624
184	141	623
185	142	621
186	142	620
187	143	618
188	143	617
189	144	615
190	144	613
191	145	613
192	146	612
193	147	611
194	147	609
195	148	608
196	148	606
197	149	605
198	149	603
199	150	602
200	151	600
201	151	599
202	152	597
203	152	596
204	153	595
205	154	593
206	154	592
207	155	591
208	155	589
209	156	588
210	157	587
211	157	585
212	158	584
213	158	583
214	159	581
215	159	580
216	160	580
217	161	578
218	162	578
219	162	577
220	163	576
221	164	575
222	164	574
223	165	572
224	165	571
225	166	570
226	167	569
227	167	567
228	168	566
229	168	565
230	169	564
231	170	563
232	170	562
233	171	560
234	171	559
235	172	558
236	173	557
237	173	556
238	174	554
239	174	553
240	175	552
241	176	552
242	176	551
243	177	550
244	178	549
245	178	547
246	179	546
247	179	545
248	180	544
249	181	543
250	181	542
251	182	541
252	182	539
253	183	538
254	184	537
255	184	536
256	185	536
257	186	535
258	186	534
259	187	533
260	187	532
261	188	531
262	189	530
263	189	529
264	190	528
265	191	527
266	192	527
267	192	526
268	193	525
269	193	524
270	194	523
271	195	521
272	195	520
273	196	519
274	196	518
275	197	517
276	198	516
277	198	515
278	199	514
279	199	513
280	200	512
281	201	511
282	201	510
283	202	509
284	202	508
285	203	507
286	204	506
287	204	505
288	205	504
289	205	504
290	206	503
291	207	502
292	207	501
293	208	500
294	209	499
295	209	498
296	210	497
297	210	497
298	211	496
299	212	495
300	212	494
301	213	493
302	213	492
303	214	491
304	215	490
305	215	489
306	216	488
307	216	487
308	217	486
309	217	485
310	218	484
311	219	483
312	219	482
313	220	481
314	220	480
315	221	479
316	222	479
317	223	478
318	223	477
319	224	476
320	224	475
321	225	474
322	226	473
323	226	472
324	227	471
325	227	470
326	228	470
327	229	469
328	229	468
329	230	467
330	230	466
331	231	465
332	231	464
333	232	463
334	233	462
335	233	461
336	234	460
337	234	459
338	235	459
339	236	458
340	236	457
341	237	457
342	238	457
343	239	456
344	239	455
345	240	454
346	241	453
347	241	452
348	242	452
349	242	451
350	243	450
351	244	449
352	244	448
353	245	448
354	246	447
355	246	446
356	247	445
357	247	444
358	248	443
359	249	443
360	249	442
361	250	441
362	251	440
363	251	440
364	252	439
365	253	438
366	254	438
367	254	437
368	255	436
369	256	435
370	256	435
371	257	434
372	258	433
373	258	432
374	259	432
375	259	431
376	260	430
377	260	429
378	261	428
379	262	427
380	262	426
381	263	425
382	263	425
383	264	424
384	265	423
385	265	422
386	266	421
387	267	421
388	267	420
389	268	419
390	268	418
391	269	417
392	270	417
393	270	416
394	271	415
395	271	414
396	272	413
397	272	412
398	273	411
399	274	411
400	274	410
401	275	409
402	275	408
403	276	407
404	277	407
405	277	406
406	278	405
407	278	404
408	279	403
409	279	402
410	280	401
411	281	401
412	281	400
413	282	399
414	282	398
415	283	398
416	284	397
417	284	396
418	285	395
419	286	394
420	286	394
421	287	393
422	287	392
423	288	391
424	289	391
425	289	390
426	290	389
427	290	388
428	291	387
429	291	387
430	292	386
431	293	385
432	293	384
433	294	383
434	294	383
435	295	382
436	296	381
437	296	380
438	297	380
439	298	379
440	298	378
441	299	378
442	300	377
443	300	376
444	301	375
445	301	374
446	302	374
447	303	373
448	303	372
449	304	371
450	305	371
451	305	370
452	306	370
453	307	369
454	308	368
455	308	368
456	309	367
457	309	366
458	310	366
459	311	365
460	312	364
461	312	364
462	313	364
463	314	363
464	315	362
465	316	362
466	316	361
467	317	360
468	318	360
469	319	360
470	319	359
471	320	358
472	321	357
473	321	357
474	322	356
475	323	355
476	323	355
477	324	354
478	325	353
479	325	352
480	326	352
481	327	351
482	328	351
483	329	350
484	330	350
485	333	352
486	333	351
487	334	350
488	335	350
489	335	349
490	336	348
491	337	348
492	337	347
493	338	346
494	339	346
495	339	345
496	340	344
497	340	343
498	341	342
499	342	342
500	342	341
501	343	340
502	344	340
503	345	339
504	345	338
505	346	338
506	347	337
507	347	336
508	348	335
509	348	335
510	349	334
511	350	333
512	350	332
513	351	332
514	351	331
515	352	330
516	353	329
517	353	329
518	354	328
519	354	327
520	355	326
521	356	326
522	356	325
523	357	324
524	357	323
525	358	323
526	359	322
527	359	321
528	360	320
529	360	320
530	361	319
531	362	318
532	362	317
533	363	316
534	363	316
535	364	315
536	364	314
537	365	313
538	366	313
539	366	312
540	367	311
541	367	310
542	368	309
543	368	309
544	369	308
545	370	307
546	370	307
547	371	306
548	371	305
549	372	304
550	373	303
551	373	303
552	374	302
553	375	302
554	375	301
555	376	300
556	376	299
557	377	299
558	378	298
559	378	297
560	379	296
561	379	296
562	380	295
563	380	294
564	381	293
565	382	292
566	382	292
567	383	291
568	383	290
569	384	289
570	385	289
571	385	288
572	386	287
573	386	287
574	387	286
575	388	285
576	388	284
577	389	284
578	390	283
579	390	282
580	391	282
581	391	281
582	392	280
583	392	279
584	393	279
585	394	278
586	394	277
587	395	276
588	395	276
589	396	275
590	396	274
591	397	273
592	398	273
593	398	272
594	399	271
595	399	271
596	400	270
597	401	269
598	401	268
599	402	268
600	402	267
601	403	266
602	404	266
603	404	265
604	405	264
605	406	264
606	406	263
607	407	262
608	407	261
609	408	261
610	409	260
611	409	259
612	410	258
613	410	258
614	411	257
615	411	256
616	412	256
617	413	255
618	413	254
619	414	253
620	415	253
621	415	252
622	416	251
623	416	251
624	417	250
625	417	249
626	418	248
627	419	248
628	419	247
629	420	246
630	421	246
631	421	245
632	422	244
